#x,action
-208.33333333333334,4.0
0.0,4.0
208.33333333333334,3.0
416.66666666666669,2.0
625.0,1.5
833.33333333333337,1.5
1041.6666666666667,2.0
1250.0,0.0
1458.3333333333333,0.0
1666.6666666666665,0.0
1874.9999999999998,0.0
2083.333333333333,0.0
2291.6666666666665,0.0
2500.0,0.0
2708.3333333333335,0.0
2916.666666666667,0.0
3125.0000000000005,0.0
3333.3333333333339,0.0
3541.6666666666674,0.0
3750.0000000000009,0.0
3958.3333333333344,0.0
4166.6666666666679,0.0
4375.0000000000009,0.0
4583.3333333333339,0.0
4791.666666666667,0.0
5000.0,0.0
5208.333333333333,0.0
5416.6666666666661,0.0
5624.9999999999991,0.0
5833.3333333333321,0.0
6041.6666666666652,0.0
6249.9999999999982,0.0
6458.3333333333312,0.0
6666.6666666666642,0.0
6874.9999999999973,0.0
7083.3333333333303,0.0
7291.6666666666633,0.0
7499.9999999999964,0.0
7708.3333333333294,0.0
7916.6666666666624,0.0
8124.9999999999955,0.0
8333.3333333333285,0.0
8541.6666666666624,0.0
8749.9999999999964,0.0
8958.3333333333303,0.0
9166.6666666666642,0.0
9374.9999999999982,0.0
9583.3333333333321,0.0
9791.6666666666661,0.0
10000.0,0.0
